Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4u7,C19666
"C10, C9",0402,2,2u2,C12530
"C11, C12, C13, C14",0402,4,10p,C32949
"C15, C16, C17, C20, C21, C22, C24, C25, C27, C28, C29, C3, C30, C31, C34, C35, C36, C39, C4, C40, C5, C6, C7",0402,23,100n,C1525
"C18, C23",0603,2,10u,C19702
C19,0603,1,22u,C86295
"C2, C26, C33, C37, C8",0402,5,1u,C52923
"C32, C38",0402,2,10n,C15195
D1,0603,1,red,C2286
D2,0603,1,yellow,C72038
D3,0603,1,green,C965804
D4,D_SOD-123,1,~,C8598
FB1,0603,1,FerriteBead_Small,C1002
J1,Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical,1,TC2050,
J3,DF40GB-70DP-0.4V-plug,1,CONN PLUG 70POS SMD GOLD,
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"R1, R2, R3, R4",0402,4,0,C17168
"R10, R11",0402,2,5k1,C25905
"R12, R13, R16, R17, R18, R19, R20",0402,7,22,C25092
R14,0402,1,4k7,C25900
R15,0402,1,10k,C25744
R5,0402,1,100k,C25741
"R6, R7, R8, R9",0402,4,1k,C11702
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,KMR721NGLFS,C2911418
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VIT6,C114409
U10,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,H3LIS331DL,C2655074
U11,LGA-8_3x5mm_P1.25mm,1,MS5607/MS5611,C97627
U12,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,C478483
U13,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,BMP580,C22391138
"U2, U7",SOT-563,2,TPD4E1U06,C527516
U3,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22,C2827824
U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42670-P,C3288646
U5,SOT-223-3_TabPin2,1,AZ1117I-3.3,C92102
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
U8,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q256JVEIQ,C97522
U9,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSR,C784817
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C70509
