Designator,Mid X,Mid Y,Rotation,Layer
C1,103.45,-113.750001,180.0,top
C10,123.55,-108.1,0.0,top
C11,103.15,-115.100001,0.0,top
C12,104.6,-116.65,270.0,top
C13,105.65,-108.600003,270.0,top
C14,102.88,-112.04,0.0,top
C15,127.2,-127.4,45.0,top
C16,105.7,-121.000001,270.0,top
C17,121.45,-124.55,180.0,top
C18,112.1,-125.55,0.0,top
C19,102.95,-127.1,315.0,top
C2,104.650001,-119.000001,90.0,top
C20,108.85,-104.0,180.0,top
C21,113.35,-98.169999,90.0,top
C22,113.35,-100.07,270.0,top
C23,119.425,-104.85,0.0,top
C24,122.47,-103.4,180.0,top
C25,126.2,-101.4,270.0,top
C26,113.78,-101.95,0.0,top
C27,115.78,-101.95,180.0,top
C28,116.602499,-103.416099,90.0,top
C29,97.45,-105.0,270.0,top
C3,105.6,-113.600001,90.0,top
C30,98.85,-104.2,180.0,top
C31,99.925,-122.975,0.0,top
C32,98.0,-122.975,180.0,top
C33,99.025,-116.23,90.0,top
C34,100.850002,-112.624858,90.0,top
C35,98.0,-108.25,270.0,top
C36,99.55,-107.75,180.0,top
C37,101.41,-122.55,270.0,top
C38,100.850001,-114.524859,270.0,top
C39,126.45,-132.5,90.0,top
C4,105.7,-119.000001,90.0,top
C40,124.65,-113.7,270.0,top
C5,109.445,-124.55,180.0,top
C6,124.55,-109.5,270.0,top
C7,109.5,-105.9,0.0,top
C8,104.7,-121.300002,270.0,top
C9,119.5,-124.55,180.0,top
D1,132.15,-115.4,180.0,top
D2,132.15,-117.0,180.0,top
D3,132.15,-118.6,180.0,top
D4,126.2,-109.8,90.0,top
FB1,103.400001,-121.9,90.0,top
J3,115.25,-115.25,0.0,bottom
J5,130.95,-109.15,90.0,top
R1,105.15,-115.100002,180.0,top
R10,128.05,-116.05,270.0,top
R11,129.6,-115.5,0.0,top
R12,125.7,-113.2,90.0,top
R13,126.75,-113.2,270.0,top
R14,122.5,-105.2,90.0,top
R15,121.5,-105.2,270.0,top
R16,125.85,-120.95,180.0,top
R17,127.0,-118.108675,270.0,top
R18,125.85,-119.95,0.0,top
R19,125.85,-121.95,0.0,top
R2,105.649999,-116.65,90.0,top
R20,125.798833,-118.1,270.0,top
R3,105.649999,-110.600001,90.0,top
R4,104.78,-112.04,0.0,top
R5,127.475,-120.675,270.0,top
R6,127.475,-122.675,270.0,top
R7,129.6,-116.6,0.0,top
R8,129.6,-117.7,0.0,top
R9,129.6,-118.8,0.0,top
SW1,130.9,-124.9,0.0,top
SW2,130.9,-121.25,0.0,top
U1,115.25,-115.25,270.0,top
U10,119.7,-102.25,180.0,top
U11,123.8,-100.1,180.0,top
U12,114.78,-103.75,180.0,top
U13,99.8,-109.55,0.0,top
U2,126.25,-115.6,90.0,top
U3,99.2375,-105.95,0.0,top
U4,98.8,-113.474858,90.0,top
U5,109.05,-130.0,0.0,top
U6,98.842499,-120.9175,0.0,top
U7,125.350001,-130.2,270.0,top
U8,108.3,-99.975,180.0,top
U9,115.450001,-99.169999,270.0,top
Y1,101.8,-117.450001,180.0,top
Y2,103.85,-109.500001,90.0,top
