Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,C781886
"C10, C16, C18, C22, C23, C3, C8",0805,7,22u,C45783
"C11, C14, C25, C26, C27, C28, C29, C30, C35, C36, C37, C38, C39, C40, C44, C45, C49, C57",0402,18,100n,C1525
"C15, C17, C21, C34, C4, C43, C48, C7, C9",0603,9,10u,C96446
"C19, C20, C41, C5",0402,4,1u,C52923
"C24, C6",0603,2,10u,
C42,0402,1,470p,C1537
"C50, C51",0402,2,10p,C32949
"C52, C54",0402,2,100n,
C53,0402,1,33n,C7419416
"C55, C56",0603,2,22u,C45783
"D10, D16, D17, D18, D19",0603,5,white,C2290
"D15, D2, D3",D_SMA,3,SS34,C8678
"D5, D6, D8",0603,3,red,C2286
F1,1206,1,3A,C99558
"F2, F3, F4, F5",1206,4,10A,C207003
FB1,0603,1,FerriteBead,C1002
"J1, J2",core-board-inner-mounting-holes,2,DF40C-70DS-0.4V(51),C294854
"J10, J9",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,JST-GH,C189895
"J3, J4",Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal,2,~,
J5,Molex_Micro-Fit_3.0_43045-1200_2x06_P3.00mm_Horizontal,1,~,
"J6, J7",SMA_Amphenol_132289_EdgeMount,2,SMA,
J8,RJ45_Wuerth_7499010211A_Horizontal,1,RJ45_Wuerth_7499010211A,
"JP3, JP4",PinHeader_1x02_P1.27mm_Vertical,2,Jumper_2_Small_Open,
JP5,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper_2_Bridged,
L1,L_Wuerth_XHMI-6060,1,6u8,
Q1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,AON7423,C99711
"Q2, Q4",SOT-23,2,AO3400A,C20917
"Q5, Q6, Q7, Q8",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,4,AON7544,C315567
"R1, R17",2512,2,"5m, 1%",C723630
"R10, R12, R15, R19, R25, R27, R28, R29, R37, R46, R48, R53, R55, R57, R59, R6, R60, R62, R64, R66, R7, R8, R9",0402,23,10k,C25744
"R11, R26",0402,2,1k5,C25867
"R13, R14, R22, R44, R54, R58, R61, R65",0402,8,120,C25079
"R2, R3, R4, R56",0402,4,100k,C25741
"R24, R34, R67",0603,3,0,
"R30, R31, R32, R33",0402,4,51,C25125
"R35, R36, R38, R41, R42, R43, R51, R52",0402,8,33,C25161
"R39, R50",0402,2,0,C17168
R40,0402,1,12.1k,C25752
"R45, R47",0603,2,270,C22966
R68,0402,1,0,
R69,0603,1,56k,
R70,0603,1,10k,
R72,0603,1,49.9,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.5mm,7,TestPoint,
"U10, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2562FD,C124016
"U11, U13",Ai-Thinker-Ra-01-LoRa,2,Ai-Thinker-Ra-01,
U12,SOT-563,1,TPD4E1U06,C527516
U14,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,C621424
U15,SOT-583-8,1,TPS62933,
"U2, U3, U6, U7",SOT-223-3_TabPin2,4,AZ1117I-3.3,C92102
U4,SOT-23-6,1,INA181A3,C2652255
U9,SOT-23-6,1,INA181A2,C2058784
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
