Designator,Mid X,Mid Y,Rotation,Layer
BZ1,224.8,-177.65,0.0,top
C10,195.8,-143.275,270.0,top
C11,209.1,-218.72,90.0,top
C14,213.362499,-221.907498,90.0,top
C15,192.4,-179.0,180.0,top
C16,190.6,-168.2,180.0,top
C17,201.9,-143.275,270.0,top
C18,204.2,-143.275,270.0,top
C19,202.55,-229.2,180.0,top
C20,202.55,-230.2,180.0,top
C21,196.412242,-232.358125,90.0,top
C22,194.612242,-232.558125,90.0,top
C23,192.562242,-232.558125,90.0,top
C24,183.061092,-185.413072,90.0,top
C25,227.82,-214.5,0.0,top
C26,220.9,-211.12,270.0,top
C27,195.6,-220.635343,0.0,top
C28,191.45,-215.33,270.0,top
C29,227.93,-221.2,0.0,top
C3,218.45,-227.05,180.0,top
C30,220.91,-217.88,270.0,top
C34,183.0,-155.3,0.0,top
C35,177.0,-158.8875,90.0,top
C36,176.0,-158.8875,90.0,top
C37,182.41,-157.4875,0.0,top
C38,182.43,-156.4875,0.0,top
C39,183.75,-150.98,270.0,top
C4,218.25,-224.7,180.0,top
C40,190.52,-131.55,180.0,top
C41,176.73,-162.9125,180.0,top
C42,176.73,-161.9425,180.0,top
C43,175.35,-139.95,0.0,top
C44,175.45,-138.6,0.0,top
C45,180.25,-164.8375,270.0,top
C48,216.4,-138.615,270.0,top
C49,217.7,-139.17,270.0,top
C5,215.62,-228.55,0.0,top
C50,178.5,-164.6875,90.0,top
C51,174.645,-163.2375,0.0,top
C52,181.496092,-185.888072,90.0,top
C53,177.026092,-187.213072,180.0,top
C54,173.85,-185.15,0.0,top
C55,179.487066,-176.23686,0.0,top
C56,179.437066,-174.73686,0.0,top
C57,179.437066,-173.48686,0.0,top
C6,184.711092,-185.463072,90.0,top
C7,213.35,-218.4,90.0,top
C8,215.15,-218.15,90.0,top
C9,193.5,-143.275,270.0,top
D10,199.9,-225.4,180.0,top
D15,224.300001,-170.4,0.0,top
D16,177.7,-209.212499,90.0,top
D17,175.7,-209.212499,90.0,top
D18,173.7,-209.212499,90.0,top
D19,171.7,-209.212499,90.0,top
D2,203.3,-224.15,270.0,top
D3,206.95,-224.15,270.0,top
D5,205.95,-229.2,90.0,top
D6,204.3,-229.2,90.0,top
D8,181.111092,-171.663072,270.0,top
F1,209.4,-230.2,0.0,top
F2,185.1,-230.0,180.0,top
F3,185.1,-227.7,180.0,top
F4,180.1,-230.0,0.0,top
F5,180.1,-227.7,0.0,top
FB1,183.0,-153.8,180.0,top
J1,200.0,-200.0,0.0,top
J10,227.05,-160.125,270.0,top
J2,200.0,-155.0,0.0,top
J3,220.7,-236.935,180.0,top
J4,203.5,-236.935,180.0,top
J5,182.3,-236.935,180.0,top
J6,183.0,-117.55,90.0,bottom
J7,217.0,-117.55,90.0,bottom
J8,200.02,-124.73,180.0,top
J9,227.05,-150.525,270.0,top
JP3,227.515,-205.6,270.0,top
JP4,222.815,-205.6,270.0,top
L1,175.312066,-181.08686,90.0,top
Q1,198.75,-228.4,0.0,top
Q2,199.55,-222.5625,270.0,top
Q4,222.6625,-184.65,0.0,top
Q5,191.075001,-222.7625,180.0,top
Q6,187.475001,-222.7625,180.0,top
Q7,183.875001,-222.7625,180.0,top
Q8,180.275001,-222.7625,180.0,top
R1,212.7,-226.05,0.0,top
R10,202.55,-228.2,0.0,top
R11,179.437066,-172.53686,0.0,top
R12,201.05,-227.190001,270.0,top
R13,227.209999,-207.7,0.0,top
R14,192.55,-213.409999,270.0,top
R15,192.55,-215.309999,270.0,top
R17,193.0625,-227.55,180.0,top
R19,197.4,-225.05,0.0,top
R2,194.75,-215.290002,90.0,top
R22,222.490001,-207.7,180.0,top
R24,183.0,-124.825,90.0,bottom
R25,195.3,-179.6,270.0,top
R26,184.7,-165.2,45.0,top
R27,183.2,-166.6,225.0,top
R28,178.4,-167.8,180.0,top
R29,180.4,-167.8,0.0,top
R3,195.85,-215.290001,90.0,top
R30,184.14,-148.4,0.0,top
R31,184.76,-149.45,0.0,top
R32,181.690001,-148.4,0.0,top
R33,182.340001,-149.45,0.0,top
R34,217.0,-124.825,90.0,bottom
R35,183.4,-168.9,315.0,top
R36,182.639376,-169.739376,315.0,top
R37,181.25,-164.8375,270.0,top
R38,184.6,-167.2,315.0,top
R39,185.4,-166.5,315.0,top
R4,193.65,-215.3,90.0,top
R40,178.4,-157.3875,180.0,top
R41,222.809999,-151.2,0.0,top
R42,222.809999,-149.9,0.0,top
R43,186.9,-162.0,270.0,top
R44,225.709999,-185.7,180.0,top
R45,209.45,-129.0,270.0,top
R46,189.859999,-128.85,0.0,top
R47,190.6,-122.75,270.0,top
R48,225.690001,-184.6,0.0,top
R50,174.634999,-162.2375,180.0,top
R51,222.809999,-160.649999,0.0,top
R52,222.790001,-159.55,0.0,top
R53,177.690001,-207.2,180.0,top
R54,187.8,-214.929997,270.0,top
R55,187.8,-216.9,270.0,top
R56,201.05,-229.140001,270.0,top
R57,175.690001,-207.2,180.0,top
R58,186.5,-214.929997,270.0,top
R59,186.5,-216.859999,270.0,top
R6,194.75,-213.390001,90.0,top
R60,173.709999,-207.2,180.0,top
R61,185.25,-214.929997,270.0,top
R62,185.25,-216.859999,270.0,top
R64,171.709999,-207.2,180.0,top
R65,184.0,-214.929997,270.0,top
R66,184.0,-216.859999,270.0,top
R67,180.596092,-190.463072,90.0,top
R68,175.69,-185.15,180.0,top
R69,175.596092,-190.113072,270.0,top
R7,195.85,-213.390001,90.0,top
R70,177.096092,-190.113072,90.0,top
R72,172.596092,-190.188072,90.0,top
R8,193.65,-213.390001,90.0,top
R9,207.790001,-228.5,180.0,top
U10,225.175,-217.895,270.0,top
U11,179.0,-147.0,270.0,bottom
U12,189.5,-133.05,0.0,top
U13,221.0,-147.0,270.0,bottom
U14,180.35,-160.7,0.0,top
U15,179.286092,-186.963072,180.0,top
U2,215.275,-214.975,270.0,bottom
U3,195.8,-140.649999,270.0,bottom
U4,210.762499,-222.349999,180.0,top
U6,192.3,-173.6,270.0,bottom
U7,204.2,-140.649999,270.0,bottom
U8,225.175,-211.135,270.0,top
U9,195.4,-222.85,180.0,top
Y1,175.825,-165.487501,180.0,top
